COMMENT|CLASS
Merhabalar, telefonu yaklaşık bir haftadır kullanıyorum. Yılan gibi akıyor. Telefonu anlatmaya gerek yok incelemeleri, performansı zaten biliniyor. 2019 yılında bile çok güncel ve çok hızlı. Kamerası olay, çok iyi çekiyor. En ağır oyunları kasmadan oynatıyor. Pubg, Asphalt 9 ve diğerleri. 32 GB yeterli. Hızlı şarj olmaması kötü. Gold rengini aldım memnunum. |1
Paketleme + teslimat + hız süper. Teşekkürler tereddütsüz alabilirsiniz ????|1
2 haftadır kullanıyorum bittibitiyor satıcısından aldım sorunsuz ve hızlı bir şekilde geldi paketleme biraz daha özenli yapılabilirdi onun dışında gönül rahatlığıyla alabilirsiniz|1
Kafaniz rahat alin|1
rezelat|0
beğenmedim|0
Bittibitiyor dan aldım kargo günü tesliminden 1 gün önce geldi telefon kutusunda hafif ezilmeler vardı ama bu problem değil benim için telefon kusursuz çalışıyor almak isteyecekler tereddüt etmeden alsın bu fiyat normal mağazalara oranla çok iyii |1
Ürünü bittibitiyor satıcısından temin ettim,hepsiexpres anlaşmalı olduğu için tam zamanında sağlam bir şekilde tarafıma teslim edildi.Apple Türkiye garantili, garantisi teli kurunca başladı bir sıkıntı yok.Telefonda da bir sıkıntı yok gayet akıcı 6s sen geçiş yaptım memnunum.İlgili satıcıyı  tavsiye ederim.En uygun fiyat da Hepsiburada’da|1
Ürün 2 günde hasarsız elime ulaştı|1
TELEFONU ANLATMAYA GEREK YOK SANIRIM PİYASADAN DAHA UYGUN FİYATA HİÇ TERDDÜT ETMEDEN ALABİLİRSİNİZ.BU 3.TELEFONUM HEPSİBURADADAN 2 TANESİ 8 PLUSTU HERHANGİ Bİ SIKINTI YAŞAMADIM GERÇEKTEN TEŞEKKÜR EDERİM..BittiBitiyor SATICISINA AYRICA TEŞEKKÜR EDİYORUM SALI GÜNÜ 16:03 SİPARİŞ VERDİM ÇARŞAMBA GÜNÜ 11:00 TELEFONUM ELİMDEYDİ ÇOK HIZLI VE SORUNSUZ Bİ ALIŞVERİŞ OLDU ÇOK TEŞEKKÜR EDERİM..|1
Müthiş telefon 2019 yılındayız geçişleri inanılmaz bu arada sıkıntısız bir şekilde geliyor |1
Bitti bitiyor a teşekkür ediyorum hızlı gönderi bu arada sıkıntı olmasın sıfır kontrol ettim sim kartı taktıktan sonra başladı muhteşem bir telefon günümüzde yüksek fiyatlar olduğu için bence müthiş bir telefon tavsiye ederim |1
teşekkürler orjinal ürün ithalat kayıtlı ambalaj kargo kusursuz hayırlı kazançlar dilerim|1
Hızlı gönderi. Sorunsuz elime ulaştı. Teşekkurler|1
Piyasadaki en uygun ve en orjinali orjinal iphone olduğu çok belli kargo olarak pıt pıta sarılmış ve asla kırılmazdı zaten çok teşekkürlerrr|1
Gönderi hızlıydı , ürün kusursuz korumayla gönderildi teşekkürler|1
Sorunsuz bir şekilde tarafıma ulaştı.|1
Hızlı gönderim teşekkürler. Kulaklık jakı adaptörü içerisinde yoktu onu anlayamadım satıcının irtibata geçmesini rica ediyorum|1
Ürünü akşam saat 19.00 da hızlı sipariş seçeneği ile sipariş ettim. saat aralığını 11.00-13.00 olarak işaretledim. Ertesi gün saat 10.15 de siparişim kapımdaydı. Paketleme özenli olarak yapılmış ve ürün içerisinde eksik malzeme yoktu. Satıcısı hepsi burada olarak satın aldım ve güvenilir olduğunu bir kaç arkadaşımda söyledi. Gerçekten güvenilir sizlere öneririm. İmkanınız varsa satıcı kısmı hepsi burada bir yazan ürünü alın.|1
çabuk geldi. Sorun yok.|1
kargo biraz gecikti ama ürün orjinal ve iyi paketlenmiş|1
İçerisinde Yok|1
Ürün fiyat olarak alabileceğiniz en düşük şuan için bütün internet satışı yapan firmalarda araştırdım.Ürünü daha kontrol edemedim Fakat Ptt  kargo rezilliği had safhada .Kargo hariç bir sıkıntı çıkacağını düşünmüyorum.|1
Telefonu almadan önce tereddütte kalmıştım. Elime ulaştığında öncelikle garantisini sorgulattım ve sitede yazıldığı gibi çıktı. Telefonumdan çok memnunum. Almayı düşünenler varsa tereddütsüz alabilirler. Teşekkürler Hepsiburada ekibi. |1
Başarılı bir ürün, fiyat düşmüş yeni model çıkınca.|1
TR 2 yıl Aplle garantili.|1
2 gün içinde elime ulaştı. Kargolama çok iyiydi hiçbir şekilde zedelenmeyecek biçimde paketlemişler. İnşallah kullanırken sıkıntı çıkmaz.|1
Bir günde ürün elime ulaştı, paketleme çok iyi, hepsiexpres e teşekkürler harikasınız.|1
Üründe kulaklık çevirici çıkmıyor artık bilginiz olsun. Bu fiyata süper ürün  tr garantili teşekkürler sar elektronik|1
Yaklaşık 1 sene öne aldığım telefonumdan ciddi anlamda çok memnun kaldım . Hala şarjı 1 dolum bütün gün yetiyor. Tavsiye ederim.|1
Ürün belirtildiği gibi Apple Türkiye garantisi altındadır, gönul rahatlığı ile alabilirsiniz.|1
Bence başarılı ????|1
rezelat|0
beğenmedim|0
çok güzel tavsiye ederim parasını tamamen hakediyor |1
Hepsiburada.com ürünü çok iyi paketlemiş, planlanan tarihte kuryeyle sorunsuz geldi, tavsiye ediyorum|1
Gece sipariş verdim sabah geldi keşke tüm ürünleri Hepsiexpress getirse boşa bu kargocularada para kaptırmamış olurlar zaten telefona diyecek söz yok efsane|1
Çeyrek Fiyatını bile hak etmiyor bu sitede en uygun olsa bile. Telefonda yapılabilecek aktivite çok az, zaten çok bir şey yapmıyorum diyorsanız da başka bişeye bakabilirsiniz sanırım.|0
Ürün orijinal, sadece ben biraz ısınma sorunu yasıyorum onun dısında her sey guzel.|1
Cihazı dün sipariş ettim 1 günde elime ulaştı hızlı kargo için teşekkürler. Siparişi oluşturmadan önce tereddütlerim vardı cihaz orjinaldir güvenlikle alabilirsiniz hepsiburada'ya teşekkürler ...|1
1 gün sonra çok iyi paketlenmiş şekilde elime ulaştı.|1
Olması gerektiği gibi , teşekkürler|1
Güzel ??|1
Ürün çok iyi tavsiye ederim güvenerek aldım.|1
Çok teşekkür ediyorum |1
bu paraya beş para etmez yazık|0
iyi|0
rezelat|0
beğenmedim|0
Teşekkür ederiz.|1
berbat|0
vasat|0
argo normal hızda geldi ama telefon zarar görmeyecek şekilde paketlemişler. güzel telefon adeta tasarım harikası|1
ürün tam zamanında elime ulaştı sorunsuz bir alışveriş oldu tavsiye ederim|1
Herkes hızlı yazmış ama beklediğimden yavaş|1
Ürün güzel, paketleme iyi fakat ürün elime 5 günde ulaştı.|0
İki ay oldu buradan alalı ve hiç bir sorun yok telefonumda, kesinlikle alcaksanız öneririm|1
hepsiburada'ya teşekkürler satış konusunda çok yardımcı oldular, telefonu anlatmaya gerek yok bence. sadece şarjı biraz daha uzun süre gitse daha iyi olmaz mıydı diye düşünüyor insan. son derece güzel bir ürün tavsiye ediyorum ilgililer.|1
berbat|0
vasat|0
Ürünü alalı 1 Hafta oldu ısınma ve sarj hariç her yönüyle harikulade bir telefon uygulamar arası geçişler performansı özellikle çok iyi pubg de hdr da oynuyosun ve sıfır  kasma ios kullandıktan sonra android kullanmamaya karar verdim hiç düşünmeden alın ;)|1
Guzel alisveristi tsk|1
Ürün açıklamadaki gibi ama firma yarın kargoda demesine rağmen geç gönderiyor.|1
Telefon iki gunde elimdeydi, 2 yil apple turkiye garantili cok tesekkurler|1
Bittibitiyor dan aldım çok memnun kaldım hasarsız bir şekilde geldi şu anda da severek kullanıyorum.daha önceden ıphone 7 kullanıyordum tavsiyem iPhone 7 Plus özellikle bayanlar için erkekler için  büyük gelebilir |1
berbat|0
vasat|0
Apple kullanan bilir alıştın mı android kullanamazsınız stabil yazılım ve kalite bir arada...|1
Wifi problemi yüzünden yenisi ile değiştirldi apple servisi tarafından onun haricinde memnunum.|1
Ürün yazılandan daha kısa sürede 2 gün içinde elime ulaştı  piyasa fiyatlarının çok altında tel sahibi oldum gelecekbizde ve hepsiburada firmalarına kalitesinden ve hızından dolayı çok çok teşekkürler rahatlıkla alışveriş yapabilirsiniz  iyi çalışmalar |1
Telefonu burdan alan arkadaşlar gelen cihaz hangi ios sürümü ile geliyor. Açıklamada 10 görünüyor ama bazen en son sürümde güncel olarak da gelebiliyormuş. Güncel versiyonda da sorunlar oluyor diye bilgiler mevcut.|1
Ekranında çok küçük çizikler var geri göndereceğim ama ne yapacağım. Hakkında hiçbir bilgim Yok|0
Ürünü tavsiye ediyorum, gerçekten efsane. Kargo da hızlıydı!!!|1
süper performans ve kalite|1
Hepsi ekspress ile çok hızlı ve sorunsuz geldi ürün belirtildiği özeliklerde. Fiyat performans ürünü teşekkür edebilirim|1
Ne diyebilirim ki kalitesi ortada.|1
Ürünü BittiBitiyor satıcısından aldım paketleme güzel ama kargo şirketi çok yavaş YurtiçiKargo olmasa daha iyi olurdu ama ürün sorunsuz şekilde geldi. Tavsiye ederim.|1
berbat|0
Çok kaliteli orjinal ürün|1
gelecekbizde satıcısından ürünü aldık. teslimat 1 hafta sonra gösteriyordu fakat siparişten 2 gün sonra ürün teslim edildi. ürün detayında belirttiği gibi apple türkiye garantili ürün. IMEI numarasını sorgulattım kayıtlı ürün ve apple sitesinde ürünü kurduktan sonra 2 yıllık garantisini başlattı. kutu ve teslimat sorunsuzdu. kutu içeriğinde eksik gedik yoktu. yıllarca boşuna android kullanmışız. Tavsiye ederim, cihazı anlatmaya gerek yok.|1
İlk defa internetten bu kadar pahalı bi elektronik cihaz aldım gelene kadar hala şüphem vardı ama gelince içim rahatladı garanti kapsamında olup olmadığınıda kontrol ettim gelecek bizde satıcısına teşekkürler on numara bi paketlemede yapmışlar gerçekten gönül rahatlığıyla alınabilir ve cihaz gerçekten müthiş tavsiye ederim|1
gelecek bizde adli satıcıdan satın aldim herşey yerinde, güzel paketleme ama kargo biraz yavaştı genel olarak iyi|1
paketlenmesi olsun hızlı teslimat olsun telefonun bire bir aynı gelmesi olsun vs. vs. herşey mükemmel Gelecek bizde ye çok teşekkür ederim??|1 
Tavsiye ederim. |1
ürünü övecek değilim. kişiden kişiye değişir. ama hem hepsiburada hemde gelecek bizde ekibi güzel çalışıyor. çok memnun kaldım. ürünü piyasa fiyarına göre çok uyguna aldım. sadece gelecek bizde ekibi gönderilen paketlemede ufak bir özen güzel olurdu. onun dışında elinize sağlık. |1
Ürün hızlı kargo seçeceğini tercih etmem sebebiyle 24 saat sonra elime geçti. Sorunsuz ve uygun fiyatlı bir alışveriş gerçekleştirdim. Buradan satın aldığım 3. Telefonum. Hiçbir sorun yaşamadım.????|1
Telefonun güzelliğinden bahsetmeye gerek bile yok zaten.hepsi burada satıcısı tarafından alım ve çok memnunum teşekkürler hepsi burada |1
Ürünü siparişi verdikten 12 saat geçmeden teslim aldım. ????????????Teşekkürler.|1
Diğer sitelerden 300 tl aşağı aldım üstelik 2 yıl apple garantili. Telefon geldiğinde ilk kurulumdan 2 3 saat sonra garanti aktif görünüyor diyeceğim şu ki gönül rahatlığıyla alın arkadaşlar. |1
Normalde 5 * verirdim ama kargo süreci çok sıkıntılı oldu. Ürünü aldım kargo günü geldi kargoya verilmedi.  ses seda yok. Bilgi veren de çıkmayınca ben aradım ürün stokta yokmuş tedarik edeceklermiş. İki gün gecikmeyle kargoya verildi. Böyle sıkıntılar olabilir ama bu gibi durımlarda müşteriyi bilgilendirirlerse daha iyi olur.  Onun dışında sıkıntı yok. Zaten satıcı hepsibırada olunca tereddüt etmeden alabilirsiniz. Orijinal sıkıntısız ürün. |1
hepsiburada adlı satıcıdan rose gold aldım, gece sipariş ettim sabah evime ulaştı. ürünün garantisini orjinallğini test ettim, bir sıkıntı yok. Teşekkürler hepsiburada. |1
Telefonu Troy'dan aldım. Tahmini kargo süresinden önce gönderdiler. Artı olarak paketleme çok iyi yapılmıştı. Firmaya dair şu an için olumsuz hiçbir görüşüm yok. Tek sıkıntı kargo firmasının çalışanı telefonu bana değil bir başkasına teslim etti. Dünyanın parasını verdiğimiz bu ürünleri sipariş verirken alıcı ismi olarak boş yere kendi ismimizi yazmıyoruz herhalde. |1
Tavsiye ederim.|1
Telefonun tek kötü yanı çok hızlı :)) kamerası net Fotoğraflar çıkartıyor parmak izi okuyucusu çok hızlı oyunlarda kasma falan yok. Şarjı 1.5  gün dayanıyor kısacası android telefonlara  para vereceğinize iPhone 7plus alın daha iyi|1
Ürün orjinal hiçbir eksiği  olmadan geldi paketleme özenli hepsiburada sorunları çözümlemede çok iyi biraz geciken kargo dışında herşey çok güzel teşekkürler hepsiburada teşekkürler tedarikçi firma bittibitiyor :)|1
allah belanı|0
berbat|0
vasat|0
rezelat|0
beğenmedim|0
Kargo telefon hepsi on numara|1
Çocuğuma aldım. beğenerek kullanıyor.|1
Ürünü bittibityordan aldım geç geldi ama telefon için buna değer ve memnunum.|1
Cihazın siparişi ve teslimatı süreci çok hızlı ve sorunsuzdu. Cihaz herkesin malumu 3 yıllık bir cihaz olmasına rağmen donanım olarak gayet yeterli. Tabiki benzer fiyatlara daha güncel cihazlar bulunabilir. Tercih ios ise alınabilecek en iyi fiyat performans ürünü. Kontrol ettiğimde cihazın 2 yıl garantisi apple türkiye olduğunu teyit ettim. Ayrıca üretim mart 2019 olduğunu.Teşekkürler Bittibitiyor.|1
Ürünü BittiBitiyor satıcısından aldım. Ürüne yorum yapmıyorum biliyorsunuz mükemmel. Kargo ise çok hızlı geldi fakat paketleme pek iyi değildi kutuda küçük ezilmeler vardı ama sıkıntı değil. Teşekkürler.|1
Ürün cok guzel cok hizli fakat kargolama cok kötü kutu icine koyup gondermisler paketleme iyi degil.sürat kargo kargoyu bulamadi yakın zamanda.kisacasi kargolama haric iyi|1
hızlı kargo sagalm ürün|1
Ürün yeni herşeyi işe tam ve saglam geldi teşekkür ederim|1
Kargo firması biraz üzse de genel olarak problem yaşamadım gelir gelmez imei numarasından garantisini sorguladım Apple Türkiye garantisi mevcut yani alacaksanız aklınızda çok soru işareti kalmasın. Hepsiburada ve bittibitiyor.com’a teşekkürler...|1
6plus cihaımı değişmek istediğimde 7 ve 8 plus arasında seçim yapmam gerekti fazla fir farklılık olmadığı için daha fazla ödemeden 7 plus almakta karar verdim. 8plusa ödeyeceğim miktarı az dha arttırırsam X tercih ederdim. Ürünü kapalı kutulu olarak teslim aldım. Kuruluma geçmek için sabırsızlanıyorum ..:))|1
Sorunsuz alışveriş teşekkür ederim.|1
Yaklaşık 1 senedir 7 plus kullanıyorum şarjı iyi gidiyor ama pubg falan girdiğinizde çok çabuk bitebiliyor onun dışında telefon gayet iyi fiyatını hakediyor|1
